DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
ANIMA;NM;Serviços Educacionais;Itaú BBA;IPO;ICVM 400;24/10/2013;18.50;28/10/13; 1218 ; 1487 ; 426020572 ; 78036349 ; 504056920 ;9%;40%;51%;1%
SER EDUCA;NM;Serviços Educacionais;BTG Pactual;IPO;ICVM 400;25/10/2013;17.50;29/10/13; 1059 ; 1311 ; 309714090 ; 309714090 ; 619428180 ;3%;39%;58%;0%
CVC BRASIL;NM;Viagens e Turismo;Itaú BBA;IPO;ICVM 400;5/12/2013;16.00;09/12/13; 2316 ; 2540 ; - ; 541465600 ; 541465600 ;9%;42%;48%;0%
VIAVAREJO;N2;Eletrodomésticos;Credit Suisse;FOLLOW-ON;ICVM 400;12/12/2013;23.00;16/12/13; 1431 ; 1826 ; - ; 2845030632 ; 2845030632 ;1%;24%;75%;0%
OI¹;N1;Telefonia Fixa;BTG Pactual;FOLLOW-ON;ICVM 400;28/4/2014;2.06;30/04/14; 3429 ; 4369 ; 13959899999 ; - ; 13959899999 ;1%;12%;41%;46%
OUROFINO S/A;NM;Medicamentos e Outros Produtos;JP Morgan;IPO;ICVM 400;17/10/2014;27.00;21/10/14; 2570 ; 2922 ; 106442289 ; 311538474 ; 417980763 ;10%;22%;20%;48%
TELEF BRASIL¹;BÁSICO;Telefonia Fixa;Itaú BBA;FOLLOW-ON;ICVM 400;27/4/2015;44.15;29/04/15; 956 ; 1850 ; 16107285059 ; - ; 16107285059 ;0%;8%;70%;22%
PARCORRETORA;NM;Corretoras de Seguros;Bradesco BBI;IPO;ICVM 400;2/6/2015;12.33;05/06/15; 3693 ; 4527 ; - ; 602800014 ; 602800014 ;10%;37%;52%;1%
VALID;NM;Serviços Diversos ;Itaú BBA;FOLLOW-ON;ICVM 476;22/9/2015;44.00;23/09/15; 42 ; 449 ; 396000000 ; - ; 396000000 ;1%;28%;70%;0%
GENERALSHOPP;NM;Exploração de Imóveis ;Santander;FOLLOW-ON;ICVM 476;14/9/2015;3.99;01/10/15; - ; 1 ; 57932406 ; - ; 57932406 ;0%;0%;0%;100%
GERDAU MET;N1;Siderurgia;BTG Pactual;FOLLOW-ON;ICVM 476;17/11/2015;1.80;19/11/15; 225 ; 558 ; 900000000 ; - ; 900000000 ;4%;35%;25%;36%
BR PHARMA;NM;Medicamentos;BTG Pactual;FOLLOW-ON;ICVM 476;19/1/2016;3.78;02/02/16; - ; 1 ; 400000001 ; - ; 400000001 ;0%;0%;0%;100%
MERC INVEST;BÁSICO;Bancos;Banco Votorantim;FOLLOW-ON;ICVM 476;10/3/2016;0.33;11/03/16; - ; 5 ; 190474337 ; - ; 190474337 ;0%;0%;0%;100%
RUMO LOG;NM;Transporte Ferroviário;Santander;FOLLOW-ON;ICVM 476;7/4/2016;2.50;08/04/16; 30 ; 407 ; 2600000000 ; - ; 2600000000 ;0%;12%;48%;41%
FRAS-LE;N1;Material Rodoviário;Santander;FOLLOW-ON;ICVM 476;8/4/2016;3.24;25/04/16; 15 ; 60 ; 300000001 ; - ; 300000001 ;2%;42%;3%;53%
ENERGISA;N2;Energia Elétrica;Citi;FOLLOW-ON;ICVM 400;27/7/2016;18.50;28/07/16; 1824 ; 2560 ; 1535962500 ; - ; 1535962500 ;10%;35%;54%;1%
CVC BRASIL;NM;Viagens e Turismo;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;10/8/2016;20.50;16/08/16; 2 ; 714 ; - ; 1230000000 ; 1230000000 ;0%;34%;65%;1%
LINX;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;26/9/2016;18.50;28/09/16; 1 ; 342 ; 444000000 ; - ; 444000000 ;0%;29%;71%;0%
TAESA;N2;Energia Elétrica;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;18/10/2016;19.65;24/10/16; - ; 684 ; - ; 1291048820 ; 1291048820 ;0%;32%;68%;0%
ALLIAR;NM;Serviços Médicos Hospitalares. Análises e Diagnósticos;Itaú BBA;IPO;ICVM 400;26/10/2016;20.00;28/10/16; 1771 ; 2035 ; 279069780 ; 395127820 ; 674197600 ;9%;37%;53%;1%
SANEPAR;N2;Água e Saneamento;Bradesco BBI;FOLLOW-ON;ICVM 400;19/12/2016;9.50;21/12/16; 1310 ; 1757 ; 257592187 ; 1717571453 ; 1975163639 ;9%;51%;39%;1%
MOVIDA;NM;Aluguel de Carros;Bradesco BBI;IPO;ICVM 400;6/2/2017;7.50;08/02/17; 1096 ; 1373 ; 535955055 ; 64128735 ; 600083790 ;9%;31%;45%;15%
IHPARDINI;NM;Serviços Médicos Hospitalares. Análises e Diagnósticos;Itaú BBA;IPO;ICVM 400;10/2/2017;19.00;14/02/17; 4616 ; 5042 ; 187272151 ; 690396673 ; 877668824 ;10%;48%;41%;1%
CCR SA ;NM;Exploração de Rodovias;Bradesco BBI;FOLLOW-ON;ICVM 476;9/2/2017;16.00;10/02/17; - ; 396 ; 4070604800 ; - ; 4070604800 ;0%;13%;68%;19%
LOJAS AMERIC;BÁSICO;Produtos Diversos;Credit Suisse;FOLLOW-ON;ICVM 476;8/3/2017;15.80;10/03/17; - ; 1203 ; 2405053617 ; - ; 2405053617 ;0%;39%;47%;14%
ALUPAR;N2;Energia Elétrica;Santander;FOLLOW-ON;ICVM 476;4/4/2017;6.50;06/04/17; 150 ; 811 ; 833462494 ; - ; 833462494 ;0%;45%;55%;0%
AZUL¹;N2;Transporte Aéreo;Itaú BBA;IPO;ICVM 400;10/4/2017;21.00;11/04/17; 1517 ; 1753 ; 1323000000 ; 698036577 ; 2021036577 ;6%;8%;86%;0%
SANTANDER BR ¹;BÁSICO;Bancos;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;6/4/2017;25.00;06/04/17; - ; 157 ; - ; 2000000000 ; 2000000000 ;0%;19%;81%;0%
BR MALLS PAR;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 476;24/5/2017;11.00;24/05/17; 53 ; 536 ; 1730088492 ; - ; 1730088492 ;0%;33%;66%;0%
BR PROPERT;NM;Exploração de Imóveis ;Itaú BBA;FOLLOW-ON;ICVM 476;29/6/2017;8.75;03/07/17; 12 ; 179 ; 952934929 ; - ; 952934929 ;0%;4%;96%;0%
CARREFOUR BR;NM;Alimentos;Itaú BBA;IPO;ICVM 400;18/7/2017;15.00;20/07/17; 4068 ; 4839 ; 3088235295 ; 1884470475 ; 4972705770 ;5%;32%;63%;1%
BIOTOSCANA;BDR;Medicamentos e Outros Produtos;JP Morgan;IPO;ICVM 400;18/7/2017;26.50;25/07/17; 4295 ; 4661 ; 424000000 ; 917562500 ; 1341562500 ;10%;22%;68%;0%
IRBBRASIL RE;NM;Seguradoras;Bradesco BBI;IPO;ICVM 400;27/7/2017;27.24;31/07/17; 7324 ; 7879 ; - ; 2003610960 ; 2003610960 ;10%;27%;63%;0%
OMEGA GER;NM;Energia Elétrica;BTG Pactual;IPO;ICVM 400;27/7/2017;15.60;31/07/17; 776 ; 1017 ; 538538504 ; 250637962 ; 789176466 ;4%;59%;25%;12%
BAHEMA;BÁSICO;Holdings Diversificadas;Coinvalores CCVM Ltda;FOLLOW-ON;ICVM 476;31/3/2017;53.78;04/08/17; 2 ; 11 ; 30555215 ; - ; 30555215 ;2%;76%;0%;22%
MAGAZ LUIZA;NM;Eletrodomésticos;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;27/9/2017;65.00;29/09/17; 71 ; 155 ; 1144000000 ; 416000000 ; 1560000000 ;0%;34%;66%;0%
PARANAPANEMA;NM;Artefatos de Cobre;Modal;FOLLOW-ON;ICVM 476;13/9/2017;1.56;15/09/17; - ; 39 ; - ; 352358788 ; 352358788 ;0%;0%;19%;81%
AZUL ¹;N2;Transporte Aéreo;Itaú BBA;FOLLOW-ON;ICVM 476;14/9/2017;27.96;19/09/17; - ; 145 ; - ; 1249622012 ; 1249622012 ;0%;8%;92%;0%
CAMIL;NM;Alimentos Diversos;BofA Merrill Lynch;IPO;ICVM 400;20/9/2017;9.00;28/09/17; 2573 ; 2940 ; 369000000 ; 778500000 ; 1147500000 ;9%;55%;35%;1%
ENEVA;NM;Energia Elétrica;BTG Pactual;FOLLOW-ON;ICVM 400;5/10/2017;11.00;06/10/17; 261 ; 426 ; 834482759 ; 41724133 ; 876206892 ;2%;54%;31%;14%
VULCABRAS;NM;Calçados;Credit Suisse;FOLLOW-ON;ICVM 400;24/10/2017;9.50;25/10/17; 1030 ; 1288 ; 574997000 ; 111460432 ; 686457432 ;10%;65%;25%;0%
RUMO SA;NM;Transporte Ferroviário;Bradesco BBI;FOLLOW-ON;ICVM 476;4/10/2017;12.00;06/10/17; - ; 76 ; 2640000000 ; - ; 2640000000 ;0%;18%;23%;59%
IMC S/A;NM;Restaurante e Similares;BTG Pactual;FOLLOW-ON;ICVM 476;9/11/2017;8.00;13/11/17; - ; 141 ; - ; 444592648 ; 444592648 ;0%;60%;40%;0%
BK BRASIL;NM;Restaurante e Similares;Itaú BBA;IPO;ICVM 400;14/12/2017;18.00;18/12/17; 3281 ; 3672 ; 886153842 ; 1096968060 ; 1983121902 ;10%;14%;76%;0%
LE LIS BLANC;NM;Tecidos Vestuário e Calçados;BTG Pactual;FOLLOW-ON;ICVM 476;30/11/2017;30.00;04/12/17; 1 ; 40 ; 148140000 ; - ; 148140000 ;31%;0%;1%;69%
PETROBRAS BR;NM;Exploração Refino e Distribuição;Citi;IPO;ICVM 400;13/12/2017;15.00;15/12/17; 6808 ; 7658 ; 655312500 ; 4368750000 ; 5024062500 ;10%;24%;66%;1%
SANEPAR;N2;Água e Saneamento;Itaú BBA;FOLLOW-ON;ICVM 476;12/12/2017;55.20;14/12/17; - ; 56 ; - ; 1040308970 ; 1040308970 ;0%;43%;57%;0%
INTERMEDICA;NM;ServMédHospitAnálises e Diagnósticos;Itaú BBA;IPO;ICVM 400;19/4/2018;16.50;23/04/18; 1375 ; 1838 ; 341379308 ; 2377736642 ; 2719115949 ;9%;21%;70%;0%
HAPVIDA;NM;ServMédHospitAnálises e Diagnósticos;BTG Pactual;IPO;ICVM 400;23/4/2018;23.50;25/04/18; 4374 ; 5099 ; 2631026466 ; 800747178 ; 3431773644 ;10%;44%;46%;0%
INTER BANCO;N1;Bancos;Bradesco BBI;IPO;ICVM 400;26/4/2018;18.50;30/04/18; 8387 ; 8605 ; 541463439 ; 130991063 ; 672454502 ;12%;28%;60%;0%
INTERMEDICA;NM;ServMédHospitAnálises e Diagnósticos;Itaú BBA;FOLLOW-ON;ICVM 476;5/12/2018;26.00;07/12/18; 15 ; 337 ; 312000000 ; 2741700000 ; 3053700000 ;0%;27%;73%;0%
LOCAMERICA;NM;Aluguel de Carros;Itaú BBA;FOLLOW-ON;ICVM 476;13/12/2018;32.00;17/12/18; 40 ; 337 ; 992000000 ; 384000000 ; 1376000000 ;0%;60%;40%;0%
LOCALIZA;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;31/1/2019;33.00;04/02/19; 116 ; 906 ; 1821600000 ; - ; 1821600000 ;0%;54%;46%;0%
IRBBRASIL RE;NM;Seguradoras;Caixa;FOLLOW-ON;ICVM 476;26/2/2019;91.00;28/02/19; - ; 64 ; - ; 2516733128 ; 2516733128 ;0%;30%;70%;0%
BK BRASIL;NM;Restaurante e Similares;Itaú BBA;FOLLOW-ON;ICVM 476;22/3/2019;21.41;25/03/19; - ; 118 ; - ; 714529226 ; 714529226 ;0%;16%;83%;1%
ENEVA;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;4/4/2019;18.25;08/04/19; - ; 258 ; - ; 1106794409 ; 1106794409 ;0%;67%;32%;1%
CENTAURO;NM;Produtos Diversos;Bradesco BBI;IPO;ICVM 400;15/4/2019;12.50;17/04/19; 3368 ; 3582 ; 705101363 ; - ; 705101363 ;10%;50%;40%;0%
TOTVS;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;22/5/2019;39.50;24/05/19; - ; 172 ; 1066500000 ; - ; 1066500000 ;0%;55%;26%;20%
BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;11/6/2019;46.00;13/06/19; - ; 138 ; - ; 2539200000 ; 2539200000 ;0%;67%;32%;0%
CPFL ENERGIA;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;12/6/2019;27.50;13/06/19; 27 ; 572 ; 3694341585 ; - ; 3694341585 ;0%;51%;49%;0%
INTERMEDICA;NM;ServMédHospitAnálises e Diagnósticos;Itaú BBA;FOLLOW-ON;ICVM 476;18/6/2019;39.50;21/06/19; - ; 267 ; - ; 2666250000 ; 2666250000 ;0%;60%;40%;0%
LINX¹;NM;Programas e Serviços;Goldman Sachs;FOLLOW-ON;ICVM 400;25/6/2019;36.00;26/06/19; 664 ; 761 ; 831600000 ; 348285636 ; 1179885636 ;7%;7%;86%;0%
PETROBRAS¹;N2;Exploração Refino e Distribuição;Caixa;FOLLOW-ON;ICVM 400;25/6/2019;30.25;27/06/19; 13251 ; 13694 ; - ; 7300546223 ; 7300546223 ;21%;32%;46%;1%
NEOENERGIA;NM;Energia Elétrica;BB Investimentos;IPO;ICVM 400;7/6/2019;15.65;28/06/19; 21595 ; 22695 ; - ; 3744278776 ; 3744278776 ;16%;43%;39%;1%
LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;11/6/2019;18.75;02/07/19; 144 ; 664 ; 1875000000 ; 624999994 ; 2499999994 ;1%;52%;47%;0%
TECNISA;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;17/7/2019;1.10;19/07/19; 2 ; 381 ; 445500000 ; - ; 445500000 ;2%;67%;16%;15%
IRBBRASIL RE;NM;Seguradoras;BB Investimentos;FOLLOW-ON;ICVM 476;18/7/2019;88.00;22/07/19; - ; 520 ; - ; 7390103600 ; 7390103600 ;0%;27%;73%;0%
HAPVIDA;NM;Serv Méd Hospit. Análises e Diagnósticos;BTG Pactual;FOLLOW-ON;ICVM 476;24/7/2019;42.50;26/07/19; - ; 474 ; 2664495000 ; - ; 2664495000 ;0%;36%;53%;11%
MOVIDA;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;25/7/2019;15.00;29/07/19; - ; 942 ; 532500000 ; 300000000 ; 832500000 ;0%;49%;44%;7%
BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;29/7/2019;13.33;31/07/19; - ; 3632 ; 1247688000 ; - ; 1247688000 ;0%;65%;3%;32%
PETROBRAS BR;NM;Exploração Refino e Distribuição;JP Morgan;FOLLOW-ON;ICVM 400;23/7/2019;24.50;25/07/19; 7348 ; 8282 ; - ; 9633093750 ; 9633093750 ;10%;45%;45%;0%
TRISUL;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;12/9/2019;10.00;16/09/19; - ; 761 ; 405000000 ; - ; 405000000 ;0%;82%;11%;7%
BANCO PAN;N1;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;19/9/2019;8.25;23/09/19; - ; 671 ; 521812500 ; 521812500 ; 1043625000 ;0%;64%;33%;3%
SINQIA;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;17/9/2019;62.00;19/09/19; - ; 1797 ; 362700000 ; - ; 362700000 ;0%;82%;12%;6%
OMEGA GER;NM;Energia Elétrica;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;25/9/2019;30.00;27/09/19; 148 ; 358 ; 830769240 ; - ; 830769240 ;0%;65%;35%;0%
EZTEC;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;24/9/2019;36.25;26/09/19; - ; 889 ; 978750000 ; - ; 978750000 ;0%;67%;20%;13%
HELBOR;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;10/9/2019;2.65;14/10/19; - ; 581 ; 560057625 ; - ; 560057625 ;0%;47%;15%;37%
VIVARA SA;NM;Acessórios;Itaú BBA;IPO;ICVM 400;8/10/2019;24.00;10/10/19; 26986 ; 27872 ; 453471888 ; 1787377536 ; 2240849424 ;13%;56%;30%;0%
BRASIL;NM;Bancos;Caixa;FOLLOW-ON;ICVM 400;17/10/2019;44.05;21/10/19; 29222 ; 30039 ; - ; 5836921765 ; 5836921765 ;32%;37%;30%;1%
LOG COM PROP;NM;Exploração de Imóveis;BTG Pactual;FOLLOW-ON;ICVM 476;22/10/2019;22.50;24/10/19; - ; 988 ; 637875000 ; - ; 637875000 ;0%;38%;18%;44%
CYRE COM-CCP;NM;Exploração de Imóveis;Bradesco BBI;FOLLOW-ON;ICVM 400;28/10/2019;19.00;30/10/19; 1087 ; 1329 ; 863550000 ; - ; 863550000 ;9%;57%;28%;6%
LOPES BRASIL;NM;Intermediação Imobiliária;Itaú BBA;FOLLOW-ON;ICVM 476;29/10/2019;7.00;31/10/19; 456 ; 548 ; 147000000 ; - ; 147000000 ;1%;73%;26%;0%
BANCO BMG;N1;Bancos;XP Investimentos;IPO;ICVM 400;24/10/2019;11.60;28/10/19; 4703 ; 5252 ; 1200000013 ; 191304358 ; 1391304371 ;10%;61%;27%;1%
CEA MODAS;NM;Tecidos Vestuário e Calçados;Morgan Stanley;IPO;ICVM 400;24/10/2019;16.50;28/10/19; 4247 ; 4724 ; 813698622 ; 941070009 ; 1754768631 ;10%;51%;39%;0%
MAGAZ LUIZA;NM;Eletrodomésticos;Itaú BBA;FOLLOW-ON;ICVM 476;12/11/2019;43.00;14/11/19; 2870 ; 3803 ; 4300000000 ; 430000000 ; 4730000000 ;0%;57%;42%;1%
JHSF PART;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;13/11/2019;4.75;18/11/19; - ; 1619 ; 513000000 ; - ; 513000000 ;0%;55%;39%;6%
LOG-IN;NM;Transporte Hidroviário;Goldman Sachs;FOLLOW-ON;ICVM 476;21/11/2019;14.50;25/11/19; - ; 421 ; 633650000 ; - ; 633650000 ;0%;57%;35%;8%
BR PROPERT;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 476;21/11/2019;12.50;25/11/19; 51 ; 299 ; 1054687500 ; - ; 1054687500 ;0%;53%;46%;0%
LOJAS MARISA;NM;Tecidos Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;4/12/2019;10.00;06/12/19; 130 ; 374 ; 567708330 ; - ; 567708330 ;0%;67%;30%;3%
ALIANSCSONAE;NM;Exploração de Imóveis;Bank of America;FOLLOW-ON;ICVM 476;5/12/2019;43.00;09/12/19; - ; 443 ; 1190769244 ; - ; 1190769244 ;0%;50%;36%;14%
INTERMEDICA;NM;ServMédHospitAnálises e Diagnósticos;Itaú BBA;FOLLOW-ON;ICVM 476;11/12/2019;57.00;13/12/19; 662 ; 1376 ; 3705000000 ; 1296750000 ; 5001750000 ;0%;44%;55%;0%
LOCAMERICA;NM;Aluguel de carros;Itaú BBA;FOLLOW-ON;ICVM 476;17/12/2019;19.50;19/12/19; 593 ; 1061 ; 1189500000 ; 639771249 ; 1829271249 ;0%;48%;51%;1%
MARFRIG;NM;Carnes e Derivados;Santander;FOLLOW-ON;ICVM 476;17/12/2019;10.00;19/12/19; 614 ; 681 ; 900900910 ; 2096484270 ; 2997385180 ;14%;40%;46%;0%
LE LIS BLANC;NM;Tecidos Vestuário e Calçados;Santander;FOLLOW-ON;ICVM 476;18/12/2019;15.00;20/12/19; 121 ; 141 ; 258750000 ; - ; 258750000 ;30%;70%;0%;0%
MINERVA;NM;Carnes e Derivados;BTG Pactual;FOLLOW-ON;ICVM 476;23/1/2020;13.00;27/01/20; - ; 1226 ; 1040000000 ; 195000000 ; 1235000000 ;0%;48%;43%;10%
ANIMA;NM;Serviços Educacionais;XP Investimentos;FOLLOW-ON;ICVM 476;29/1/2020;36.25;31/01/20; 96 ; 332 ; 1100213600 ; - ; 1100213600 ;13%;57%;30%;0%
POSITIVO TEC;NM;Computadores e Equipamentos;BTG Pactual;FOLLOW-ON;ICVM 476;30/1/2020;6.55;03/02/20; - ; 321 ; 353700000 ; - ; 353700000 ;0%;82%;14%;4%
MITRE REALTY;NM;Incorporações;Itaú BBA;IPO;ICVM 400;3/2/2020;19.30;05/02/20; 7300 ; 7748 ; 958724026 ; 94003236 ; 1052727262 ;10%;43%;45%;2%
LOCAWEB;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;4/2/2020;17.25;06/02/20; 3180 ; 3704 ; 574999994 ; 750144989 ; 1325144983 ;10%;33%;55%;2%
PETROBRAS;N2;Exploração Refino e Distribuição;Credit Suisse;FOLLOW-ON;ICVM 400;5/2/2020;30.00;07/02/20; 53097 ; 55292 ; - ; 22026080970 ; 22026080970 ;17%;44%;39%;1%
COGNA ON;NM;Serviços Educacionais;Itaú BBA;FOLLOW-ON;ICVM 476;11/2/2020;11.00;13/02/20; 1 ; 2042 ; 2555938044 ; - ; 2555938044 ;0%;30%;45%;25%
MOURA DUBEUX;NM;Incorporações;Itaú BBA;IPO;ICVM 400;11/2/2020;19.00;13/02/20; 4678 ; 4948 ; 1104867005 ; - ; 1104867005 ;10%;59%;31%;0%
PRINER;NM;Serviços Diversos;XP Investimentos;IPO;ICVM 400;13/2/2020;10.00;17/02/20; 9671 ; 9909 ; 173913040 ; 26086950 ; 199999990 ;38%;57%;3%;3%
ESTAPAR;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;13/5/2020;10.50;15/05/20; 1104 ; 1178 ; 300300000 ; - ; 300300000 ;10%;44%;6%;40%
CENTAURO;NM;Produtos Diversos;Bradesco BBI;FOLLOW-ON;ICVM 476;26/5/2020;30.00;08/06/20; 344 ; 770 ; 900000000 ; - ; 900000000 ;0%;68%;32%;1%
VIAVAREJO;NM;Eletrodomésticos;Bradesco BBI;FOLLOW-ON;ICVM 476;15/6/2020;15.00;17/06/20; - ; 14556 ; 4455000000 ; - ; 4455000000 ;0%;41%;28%;31%
BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;29/6/2020;24.80;01/07/20; - ; 2556 ; 2650500000 ; - ; 2650500000 ;0%;48%;12%;40%
AURA 360;BDR;Minerais Metálicos;Credit Suisse;IPO;ICVM 476;2/7/2020;820.00;06/07/20; - ; 120 ; 301753440 ; 560739780 ; 862493220 ;0%;81%;18%;0%
JHSF PART;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;15/7/2020;9.75;17/07/20; - ; 2687 ; 399750000 ; 33422513 ; 433172513 ;0%;84%;11%;5%
LOJAS AMERIC 4 ;N1;Produtos Diversos;BTG Pactual;FOLLOW-ON;ICVM 476;14/7/2020;32.40;16/07/20; - ; 2073 ; 7873740000 ; - ; 7873740000 ;0%;35%;18%;46%
AMBIPAR;NM;Água e Saneamento;Bradesco BBI;IPO;ICVM 400;9/7/2020;24.75;13/07/20; 5287 ; 5798 ; 1082400017 ; - ; 1082400017 ;10%;60%;30%;0%
IMC S/A;NM;Restaurante e Similares;BTG Pactual;FOLLOW-ON;ICVM 476;21/7/2020;4.25;23/07/20; - ; 1766 ; 384412500 ; - ; 384412500 ;0%;71%;9%;19%
IRANI;BÁSICO;Papel e Celulose;BTG Pactual;FOLLOW-ON;ICVM 476;22/7/2020;4.50;24/07/20; - ; 105 ; 405000000 ; - ; 405000000 ;0%;76%;23%;0%
DIMED;BÁSICO;Medicamentos e Outros Produtos;Bradesco BBI;FOLLOW-ON;ICVM 476;22/7/2020;30.00;24/07/20; - ; 809 ; 480000000 ; 556713360 ; 1036713360 ;0%;56%;41%;3%
GRUPO SOMA;NM;Tecidos Vestuário e Calçados;Itaú BBA;IPO;ICVM 400;29/7/2020;9.90;31/07/20; 6726 ; 7229 ; 1349999996 ; 472499993 ; 1822499989 ;13%;72%;15%;0%
D1000VFARMA;NM;Medicamentos e Outros Produtos;XP Investimentos;IPO;ICVM 400;6/8/2020;17.00;10/08/20; 6213 ; 6526 ; 400115485 ; - ; 400115485 ;32%;59%;7%;2%
QUERO-QUERO;NM;Produtos Diversos;BTG Pactual;IPO;ICVM 400;6/8/2020;12.65;10/08/20; 10049 ; 10844 ; 279867259 ; 1951899023 ; 2231766282 ;10%;55%;35%;0%
RUMO SA;NM;Transporte Ferroviário;Bradesco BBI;FOLLOW-ON;ICVM 476;24/8/2020;21.75;26/08/20; - ; 2532 ; 6400000010 ; - ; 6400000010 ;0%;18%;17%;65%
BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;3/9/2020;20.83;08/09/20; - ; 802 ; 1166248787 ; - ; 1166248787 ;0%;44%;23%;33%
OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;1/9/2020;38.25;03/09/20; 141 ; 382 ; 896963533 ; - ; 896963533 ;0%;61%;38%;1%
LAVVI;NM;Incorporações;BTG Pactual;IPO;ICVM 400;31/8/2020;9.50;02/09/20; 1392 ; 1633 ; 1027064000 ; - ; 1027064000 ;15%;71%;13%;0%
PAGUE MENOS;NM;Medicamentos e Outros Produtos;Itaú BBA;IPO;ICVM 400;31/8/2020;8.50;02/09/20; 10193 ; 10569 ; 858963097 ; - ; 858963097 ;10%;29%;48%;14%
BANCO PAN;N1;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;27/8/2020;8.30;31/08/20; - ; 46 ; - ; 743677220 ; 743677220 ;0%;29%;25%;47%
PETZ;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;9/11/2020;13.75;11/09/20; 37928 ; 39168 ; 336734695 ; 2693877533 ; 3030612228 ;13%;59%;28%;1%
PLANOEPLANO;NM;Incorporações;Itaú BBA;IPO;ICVM 400;15/9/2020;9.40;17/09/20; 613 ; 708 ; 40006400 ; 593415420 ; 633421820 ;6%;80%;13%;0%
JSL;NM;Transporte Rodoviário;XP Investimentos;FOLLOW-ON;ICVM 476;8/9/2020;9.60;10/09/20; 1819 ; 2144 ; 763020845 ; - ; 763020845 ;1%;39%;48%;11%
SANTOS BRP;NM;Serviços de Apoio e Armazenagem;BTG Pactual;FOLLOW-ON;ICVM 476;24/9/2020;4.10;28/09/20; - ; 2244 ; 789988000 ; - ; 789988000 ;0%;81%;9%;9%
MELNICK;NM;Incorporações;BTG Pactual;IPO;ICVM 400;24/9/2020;8.50;28/09/20; 2034 ; 2237 ; 620500000 ; 27324950 ; 647824950 ;10%;59%;30%;1%
HIDROVIAS;NM;Transporte Hidroviário;Bank of America;IPO;ICVM 400;23/9/2020;7.56;25/09/20; 2999 ; 3359 ; - ; 3019664869 ; 3019664869 ;12%;52%;36%;0%
CURY S/A;NM;Incorporações;BTG Pactual;IPO;ICVM 400;17/9/2020;9.35;21/09/20; 1140 ; 1377 ; 169999998 ; 807499997 ; 977499995 ;10%;79%;11%;0%
BOA VISTA;NM;Serviços Financeiros Diversos;JP Morgan;IPO;ICVM 400;28/9/2020;12.20;30/09/20; 1510 ; 1898 ; 1299676492 ; 870065582 ; 2169742074 ;10%;28%;62%;0%
